Subject,Chapter,Type,Level,Topic,Board,Question,Question_img,Answer,Answer_img,Solution,Solution_Img,Explaination,Explaination_Img,Options
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DB '2023,"11.  y = x + c সরলরেখাটি <math>9 x^{2}+16 y^{2}=144</math> উপবৃত্তকে স্পর্শ করলে c এর মান- 
",,"<math>\pm 5</math>
",,"<math>9 x^{2}+16 y^{2}=144</math>
<math>\Rightarrow</math> <math>\frac{x^{2}}{16}+\frac{y^{2}}{9}=1</math>
এখানে, <math>a^{2}=16</math> এবং <math>b^{2}=9</math>
y = x + c সরলরেখার ঢাল m = 1 
শর্তমতে <math>c= \pm \sqrt{a^{2} m^{2}+b^{2}}= \pm \sqrt{16+9}= \pm \sqrt{25}= \pm 5</math>
",,,,A. <math>\pm 3</math>----B. <math>\pm 4</math>----C. <math>\pm 5</math>----D. <math>\pm 6</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DB '2023,"12.  <math>\frac{(x-2)^{2}}{5}+\frac{(y+1)^{2}}{4}=1</math> উপবৃত্তের উৎকেন্দ্রিকতা হলো-
",,"<math>\frac{1}{\sqrt{5}}</math>
",,"<math>\frac{(x-2)^{2}}{5}+\frac{(y+1)^{2}}{4}=1</math>
উপবৃত্তের <math>a^{2}=5</math> এবং <math>b^{2}=4</math>
<math>\therefore</math> উৎকেন্দ্রিকতা, <math>e=\sqrt{1-\frac{b^{2}}{a^{2}}}=\sqrt{1-\frac{4}{5}}=\sqrt{\frac{1}{5}}=\frac{1}{\sqrt{5}}</math>
",,,,A. <math>\frac{3}{5}</math>----B. <math>\frac{2}{5}</math>----C. <math>\frac{2}{\sqrt{5}}</math>----D. <math>\frac{1}{\sqrt{5}}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MSB '2023,"13.  <math>27 x^{2}+8 y^{2}=216</math> উপবৃত্তের বৃহৎ অক্ষের সমীকরণ হল-
",,"<math>x=0</math>
",,"<math>27 x^{2}+8 y^{2}=216</math>
<math>\Rightarrow</math> <math>\frac{x^{2}}{8}+\frac{y^{2}}{27}=1</math>
যেহেতু, b > a, অতএব বৃহৎ অক্ষের সমীকরণ হবে x = 0
",,,,A. <math>x=0</math>----B. <math>y=0</math>----C. <math>x=2 \sqrt{2}</math>----D. <math>y=3 \sqrt{3}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2023,"14.  <math>\frac{(x-3)^{2}}{16}+\frac{(y+1)^{2}}{12}=1</math> উপবৃত্তটির-
i. কেন্দ্রের স্থানাঙ্ক (3, -1)
ii. বৃহৎ অক্ষের দৈর্ঘ্য ৪ একক
iii. উৎকেন্দ্রিকতা <math>\frac{1}{2}</math>
নিচের কোনটি সঠিক?
",,"i ,ii ও iii",,"
",,,,"A. i ও ii----B. ii ও iii----C. i ও iii----D. i ,ii ও iii"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},BB '2023,"15.  নিচের উদ্দীপকের আলোকে প্রশ্নের উত্তর দাও:
কোনো বিন্দুর পরামিতিক স্থানাংক <math>(2 \cos \theta, \sqrt{3} \sin \theta)</math>
সঞ্চারপথটি কী নির্দেশ করে?
",,উপবৃত্ত,,"
",,,,A. পরাবৃত্ত----B. উপবৃত্ত----C. বৃত্ত----D. অধিবৃত্ত
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},BB '2023,"16.  নিচের উদ্দীপকের আলোকে প্রশ্নের উত্তর দাও:
কোনো বিন্দুর পরামিতিক স্থানাংক <math>(2 \cos \theta, \sqrt{3} \sin \theta)</math>
কেন্দ্রের স্থানাংক কত?
",,"<math>(0,0)</math>
",,"
",,,,"A. <math>(2, \sqrt{3})</math>----B. <math>(0,0)</math>----C. <math>(2,0)</math>----D. <math>(0, \sqrt{3})</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2023,"17.  <math>\frac{x^2}{4}+\frac{y^2}{9}=1</math> উপবৃত্তের ক্ষেত্রে —
i. উৎকেন্দ্রিকতা <math>\frac{\sqrt{5}}{3}</math>
ii. নিয়ামকের সমীকরণ <math>\sqrt{5} y= \pm 9</math>
iii. শীর্ষবিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব = 4
নিচের কোনটি সঠিক?
",,i ও ii,,"<math>\frac{x^{2}}{4}+\frac{y^{2}}{9}=1</math> উপবৃত্তে a = 2 এবং b =3
<math>\therefore</math> শীর্ষবিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব = বৃহৎ অক্ষের দৈর্ঘ্য = 2b = 6 একক
<math>\therefore</math> (iii) নং তথ্যটি সঠিক নয়।
",,,,"A. i ও ii----B. ii ও iii----C. i ও iii----D. i ,ii ও iii"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DB '2023,"18.  <math>7x^2-9y^2+63=0</math> অধিবৃত্তের উপকেন্দ্রিক লম্বের দৈর্ঘ্য হলো—
",,"<math>\frac{18}{\sqrt{7}}</math>
",,"<math>7 x^{2}-9 y^{2}+63=0</math>
<math>\Rightarrow</math> <math>9 y^{2}-7 x^{2}=63</math>
<math>\Rightarrow</math> <math>\frac{y^{2}}{7}-\frac{x^{2}}{9}=1</math>
এখানে, <math>a^{2}=9</math> এবং <math>b^{2}=7</math>
<math>\therefore</math> উপকেন্দ্রিক লম্বের দৈর্ঘ্য <math>=\frac{2 \mathrm{a}^{2}}{\mathrm{~b}}=\frac{2 \times 9}{\sqrt{7}}=\frac{18}{\sqrt{7}}</math>
",,,,A. <math>\frac{14}{3}</math>----B. <math>\frac{14}{9}</math>----C. <math>\frac{18}{7}</math>----D. <math>\frac{18}{\sqrt{7}}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2023,"19.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>9 x^{2}-16 y^{2}=144</math>
অধিবৃত্তটির শীর্ষবিন্দুর স্থানাঙ্ক কোনটি?
",,"<math>( \pm 4,0)</math>
",,"<math>9 x^{2}-16 y^{2}=144</math>
<math>\Rightarrow</math> <math>\frac{x^{2}}{(4)^{2}}-\frac{y^{2}}{(3)^{2}}=1</math>
এখানে, <math>a=4, b=3</math>
<math>\therefore</math> শীর্ষবিন্দু <math>\equiv( \pm \mathrm{a}, 0) \equiv( \pm 4,0)</math>
",,,,"A. <math>( \pm 4,0)</math>----B. <math>( \pm 5,0)</math>----C. <math>(0, \pm 4)</math>----D. <math>(0, \pm 5)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2023,"20.  নিচের তথ্যের আলোকে প্রশ্নের উত্তর দাও:
<math>9 x^{2}-16 y^{2}=144</math>
অধিবৃত্তটির অসীমতটের সমীকরণ কোনটি?
",,"<math>3 x= \pm 4 y</math>
",,"অসীমতটের সমীকরণ: <math>y= \pm \frac{b}{a} x= \pm \frac{3}{4} x</math>
<math>\therefore 3 x= \pm 4 y</math>
",,,,A. <math>2 x= \pm 3 y</math>----B. <math>3 y= \pm 2 x</math>----C. <math>3 x= \pm 4 y</math>----D. <math>4 x= \pm 3 y</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2023,"21.  <math>\frac{x^{2}}{16}-\frac{y^{2}}{9}=1</math> অধিবৃত্তের (x, y) বিন্দুর পরামিতিক স্থানাঙ্ক—
",,"<math>(4 \sec \theta, 3 \tan \theta)</math>
",,"<math>\frac{x^{2}}{16}-\frac{y^{2}}{9}=1</math> অধিবৃত্তে a = 4 এবং b = 3
<math>\therefore</math> (x, y) বিন্দুর পরামিতিক স্থানাঙ্ক ; <math>(a \sec \theta, b \tan \theta) \equiv(4 \sec \theta, 3 \tan \theta)</math>
",,,,"A. <math>(4 \sec \theta, 3 \tan \theta)</math>----B. <math>4(\sin \theta,-3 \cos \theta)</math>----C. <math>(4 \cos \theta, 3 \sin \theta)</math>----D. <math>(4 \tan \theta, 3 \sec \theta)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},ChB '2023,"22.  <math>3 x^{2}-4 y^{2}=12</math> অধিবৃত্তের (4, 3) বিন্দুতে স্পর্শকের ঢালের মান-
",,"<math>1</math>
",,"<math>3 x^{2}-4 y^{2}=12</math> সমীকরণকে x এর সাপেক্ষে অন্তরীকরণ করে,
<math>6 x-8 y \cdot \frac{d y}{d x}=0 \Rightarrow \frac{d y}{d x}=\frac{6 x}{8 y}=\frac{3 x}{4 y}</math>
<math>\therefore</math> (4, 3) বিন্দুতে অঙ্কিত স্পর্শকের ঢাল <math>=\frac{3.4}{4.3}=1</math>
",,,,A. <math>-1</math>----B. <math>\frac{3}{4}</math>----C. <math>1</math>----D. <math>\frac{4}{3}</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},CB '2022,"23.  <math>x^{2}=-12 y</math> এর ক্ষেচ কোনটি?
",,"


",https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fboard%20mcq%202nd%20math%20chapter%206.....4png.png?alt=media&token=1925e477-e7c8-4a4b-a5c0-ed7fa03b70eb,"এখানে, <math>x^{2}=-12 y</math> কনিকটি <math>x^{2}=-4 a y</math>  আকৃতির পরাবৃত্ত। তাই এর স্কেচ হবে,


",https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fboard%20mcq%202nd%20math%20chapter%206.....4png.png?alt=media&token=a9d5f346-4209-4e2c-b2fb-e892f74b0deb,,,https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fboard%20mcq%202nd%20math%20chapter%206.....1png.png?alt=media&token=01d7bb77-a301-4626-8d9c-d52fbfd43d96----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fboard%20mcq%202nd%20math%20chapter%206.....2png.png?alt=media&token=0a796009-9a17-4df3-8501-ef0946283cf2----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fboard%20mcq%202nd%20math%20chapter%206.....3png.png?alt=media&token=b6fd12bf-09bd-425b-94bb-c313db1d704a----https://firebasestorage.googleapis.com/v0/b/q-bank-95803.appspot.com/o/images%2Fboard%20mcq%202nd%20math%20chapter%206.....4png.png?alt=media&token=1925e477-e7c8-4a4b-a5c0-ed7fa03b70eb
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DiB '2022,"24.  <math>x^{2}=16 y</math> কণিকের উৎকেন্দ্রিকতা কত হবে ? 
",,"<math>e=1</math>
",,"প্রদত্ত কণিক,<math>x^{2}=16 y</math>
<math>\therefore \mathrm{x}^{2}=4.4 . \mathrm{y}</math> যা <math>x^{2}=4 a y</math> আকৃতির পরাবৃত্ত। যেখানে <math> a = 2 </math>
আমরা জানি, পরাবৃত্তের উৎকেন্দ্রিকতা, <math>e = 1</math>
",,,,A. <math>e=1</math>----B. <math>\mathrm{e}=0</math>----C. <math>e>1</math>----D. <math>0<\mathrm{e}<1</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},MB '2022,"25.  <math>\mathrm{x}^{2}=2 y</math> কণিকের উৎকেন্দ্রিকতা কত ?
",,"<math>2</math>
",,"প্রদত্ত কণিক, <math>x^{2}=2 y</math> 
<math>\Rightarrow x^{2}=4 \cdot \frac{1}{2} \cdot y</math> 
এখানে, কণিকটি <math>x^{2}=4 a y</math> আকৃতির পরাবৃত্ত। যেখানে <math>a^{}=\frac{1}{2}</math>
আমরা জানি, পরাবৃত্তের উৎকেন্দ্রিকতা <math>= 1</math> 
",,,,A. <math>0</math>----B. <math>\frac{1}{2}</math>----C. <math>1</math>----D. <math>2</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},DB '2022,"26.  <math>y^{2}+4 x+2 y-8=0</math> পরাবৃত্তের উপকেন্দ্র হবে-
",,"<math>\left(\frac{5}{4},-1\right)</math>
",,"প্রদত্ত পরাবৃত্ত,
<math>\begin{array}{l}y^{2}+4 x+2 y-8=0 \\\Rightarrow  y^{2}+2 y=-4 x+8 \\\Rightarrow y^{2}+2 y+1=-4 x+9\end{array}</math>
<math>\therefore(y+1)^{2}=-4\left(x-\frac{9}{4}\right) ; \text { या } Y^{2}=-4 a X</math> আকৃতির পরাবৃত্ত । 
যেখানে, <math>Y=y+1, X=x-\frac{9}{4}, a=1</math>
<math>\therefore</math> পরাবৃত্তটির উপকেন্দ্র <math>(X, Y)=(-a, 0)</math>
<math>\begin{array}{l}\therefore X=-a \\\Rightarrow x-\frac{9}{4}=-1 \\\Rightarrow x=\frac{9}{4}-1 \\\therefore x=\frac{5}{4}\end{array}</math>
এবং <math>Y=0</math> 
<math>\begin{array}{l}\Rightarrow  \mathrm{y}+1=0 \\\therefore y=-1\end{array}</math>
<math>\therefore</math> পরাবৃত্তটির উপকেন্দ্র <math>\left(\frac{5}{4},-1\right)</math>

",,,,"A. <math>\left(\frac{9}{4},-1\right)</math>----B. <math>\left(\frac{9}{4},-2\right)</math>----C. <math>\left(\frac{5}{4},-1\right)</math>----D. <math>\left(\frac{13}{4},-1\right)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},RB '2022,"27.  <math>x^{2}=-3 y</math> পরাবৃত্তটির উপকেন্দ্রের স্থানাঙ্ক কত?
",,"<math>\left(0,-\frac{3}{4}\right)</math>
",,"পরাবৃত্তের সমীকরণ, <math>x^{2}=-3 y</math>
<math>\therefore x^{2}=-4 \cdot \frac{3}{4} y ; \Rightarrow  x^{2}=-4 a y</math> আকৃতির পরাবৃত্ত। যেখানে <math>a=\frac{3}{4}</math>
<math>\therefore</math> উপকেন্দ্রের স্থানাঙ্ক <math>(0,-a)=\left(0,-\frac{3}{4}\right)</math>
",,,,"A. <math>\left(-\frac{3}{4}, 0\right)</math>----B. <math>\left(\frac{3}{4}, 0\right)</math>----C. <math>\left(0,-\frac{3}{4}\right)</math>----D. <math>\left(0, \frac{3}{4}\right)</math>"
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},CB '2022,"28.  <math>x^{2}+5 y=0</math> পরাবৃত্তের নিয়ামকের সমীকরণ কোনটি?
",,"<math>4 y-5=0</math>
",,"প্রদত্ত পরাবৃত্ত <math>x^{2}+5 y=0</math>
<math>\Rightarrow  x^{2}=-5 y</math>
<math>\therefore x^{2}=-4 \cdot \frac{5}{4} \cdot y</math>যা <math>\mathrm{x}^{2}=-4 \mathrm{ay}</math>  আকৃতির পরাবৃত্ত। 
যেখানে, <math>a=\frac{5}{4}</math>
<math>\therefore</math> নিয়ামকের সমীকরণ, <math>y-a=0</math>
<math>\begin{array}{l}\Rightarrow  y-\frac{5}{4}=0 \\\therefore 4 y-5=0\end{array}</math>
",,,,A. <math>4 y+5=0</math>----B. <math>4 x+5=0</math>----C. <math>4 y-5=0</math>----D. <math>4 x-5=0</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},BB '2022,"29.  <math>(x-4)^{2}=-4(y-5)</math> পরাবৃত্তের নিয়ামকের সমীকরণ নিচের কোনটি ?
",,"<math>y=6</math>
",,"প্রদত্ত পরাবৃত্ত, <math>(x-4)^{2}=-4(y-5)</math>
এখানে, পরাবৃত্তটি <math>X^{2}=-4 a Y</math> আকৃতির।
যেখানে, <math>X=X-4, Y=y-5</math> এবং <math>a = 1</math>
<math>\therefore</math> নিয়ামক রেখার সমীকরণ, <math>Y – a = 0</math>
<math>\begin{array}{l}\Rightarrow  y-5-1=0 \\\therefore y=6\end{array}</math>
",,,,A. <math>x=4</math>----B. <math>y=6</math>----C. <math>x=5 </math>----D. <math>y=5</math>
HSC - উচ্চতর গণিত ২য় পত্র,অধ্যায়-০৬ঃ কনিক,{'বহুনির্বাচনি প্রশ্ন'},{'MCQ: All Levels'},{'All Topics'},CB '2022,"30.  <math>y^{2}=18 x</math> পরাবৃত্তের উপরস্থ <math>(2, 6)</math> বিন্দুর উপকেন্দ্রিক দূরত্ব কত?
",,"<math>\frac{13}{2}</math>
",,"এখানে, পরাবৃত্তটি, <math>y^{2}=18 x</math>
<math>\begin{array}{l}\Rightarrow \mathrm{y}^{2}=4 \cdot \frac{18}{4} \cdot \mathrm{x} \\\Rightarrow  \mathrm{y}^{2}=4 \cdot \frac{9}{2} \cdot \mathrm{x} \ldots \ldots \text { (i) }\end{array}</math>
(i) নং কে <math>y^{2}=4 a x</math> এর সাথে তুলনা করে পাই, <math>a=\frac{9}{2}</math>
এখন, উপকেন্দ্রের স্থানাঙ্ক <math>(a, 0)=\left(\frac{9}{2}, 0\right)</math>
<math>\therefore(2,6)</math> বিন্দুর উপকেন্দ্রিক দূরত্ব <math>=\sqrt{\left(2-\frac{9}{2}\right)^{2}+(6-0)^{2}}</math>
<math>\begin{array}{l}=\sqrt{\frac{25}{4}+36} \\=\sqrt{\frac{169}{4}}=\frac{13}{2}\end{array}</math>
",,,,A. <math>\frac{3}{2}</math>----B. <math>\frac{5}{2}</math>----C. <math>\frac{21}{2}</math>----D. <math>\frac{13}{2}</math>
